,Ticker,CAPM,Beta,Std_deviation,Sharpe Arith,AAR Arith
CRIS,CRI,0.007743242384819004,0.8229486187926722,0.23400583376929263,1.7262326709337528,0.4039485154416458
CTEC.L,CSL.ASX,0.021546543072402332,0.3999858993761762,0.04603775203471822,1.7029110149533426,0.07839819504361233
CTKB,CTEC.L,0.010656826187145509,0.7336701660390917,0.08148812107959098,-3.6756896374086847,-0.29952504222415677
CTVA,CTLT,0.002119929881327344,0.9952589670519939,0.04830726144488804,4.967526441205817,0.23996759852972366
CWK.L,CWH,0.01627059484868074,0.5616522615538309,0.035285914642613964,1.184197935107214,0.04178550725815287
DEO,DENN,0.009162576558188407,0.7794571774833405,0.03240678963043823,2.488725569585472,0.08065160598144895
DGE.L,DG.US,0.021126311977923654,0.4128626808451156,0.028755402692645197,3.39730093051774,0.09769075632513587
DIA.MC,DGE.L,0.032114348864195355,0.07616567860949075,0.11921975909298642,-5.6429327416426664,-0.672749082036564
DIM.PA,DIA.MC,0.01175812328687081,0.6999240623550411,0.05065188778711562,6.908527742868365,0.3499299720059436
DLB,DIN,0.005879966523678254,0.8800433849713248,0.03560746279634163,2.4661435317065767,0.08781311405568049
DLTR,DLB,0.011002927011138246,0.7230648949505658,0.05126272630131913,2.8332370347412894,0.14523945465870372
DPH.L,DOM.ST,0.017513758787887336,0.5235590538270488,0.04486032475513049,1.1422056516518304,0.05123971647024656
DPLM.L,DPH.L,0.006832102950123348,0.850867884031395,0.04575903251353149,4.945655946355055,0.22630843125000133
DRVN,DPLM.L,0.0035184921894030295,0.9524040202182109,0.04827720433381862,0.7529636841735445,0.03635098163679108
DTY.L,DS,0.017962898589533177,0.5097964476068426,0.08819607833766861,0.9378585701741537,0.08271544792473354
EDEN.PA,ECL,0.017352012400692073,0.5285153098220691,0.04094350862006607,4.2088580753252876,0.1723254168877156
